generation_index,target_raw_property,num_atoms,valid,rdkit_mol_created,has_unresolved_mask,atom_mask_remaining,charge_mask_remaining,bond_mask_remaining,sanitize_ok,single_component,smiles_ok,written_to_sdf,sdf_filename,sdf_path,smiles,canonical_smiles,is_unique_generated,duplicate_of_generation_index,dataset_membership_checked,in_train_dataset,in_val_dataset,in_test_dataset,in_any_dataset,is_novel,error
0,0.5,82,False,True,False,False,False,False,False,False,False,False,,,,,,,True,,,,,,KekulizeException: Can't kekulize mol.  Unkekulized atoms: 0 9 13 16 17 19 21 24 26 29 30 36 38 39 41 45 50 57 58 60 62 63 65 68 69 70 71 77 79
1,0.5,96,False,True,False,False,False,False,False,False,False,False,,,,,,,True,,,,,,"AtomValenceException: Explicit valence for atom # 7 H, 2, is greater than permitted"
2,0.5,97,False,True,False,False,False,False,False,False,False,False,,,,,,,True,,,,,,KekulizeException: Can't kekulize mol.  Unkekulized atoms: 19 34 36 47 76 77 96
3,0.5,96,False,True,False,False,False,False,False,False,False,False,,,,,,,True,,,,,,"AtomValenceException: Explicit valence for atom # 94 C, 5, is greater than permitted"
4,0.5,67,False,True,False,False,False,False,False,False,False,False,,,,,,,True,,,,,,KekulizeException: Can't kekulize mol.  Unkekulized atoms: 3 6 15 17 18 37 39 51 52 58 64
5,0.5,57,False,True,False,False,False,False,False,False,False,False,,,,,,,True,,,,,,KekulizeException: Can't kekulize mol.  Unkekulized atoms: 7 17 18 19 22 34 37
6,0.5,105,False,True,False,False,False,False,False,False,False,False,,,,,,,True,,,,,,KekulizeException: Can't kekulize mol.  Unkekulized atoms: 17 24 36 41 49 79 104
7,0.5,85,False,True,False,False,False,False,False,False,False,False,,,,,,,True,,,,,,KekulizeException: Can't kekulize mol.  Unkekulized atoms: 1 2 4 10 13 17 20 47 67 74 76
8,0.5,111,False,True,False,False,False,False,False,False,False,False,,,,,,,True,,,,,,"AtomValenceException: Explicit valence for atom # 21 C, 5, is greater than permitted"
9,0.5,70,False,True,False,False,False,False,False,False,False,False,,,,,,,True,,,,,,KekulizeException: Can't kekulize mol.  Unkekulized atoms: 3 15 24 31 33 34 36 42 59 60 63 64 66
10,0.5,98,False,True,False,False,False,False,False,False,False,False,,,,,,,True,,,,,,KekulizeException: Can't kekulize mol.  Unkekulized atoms: 1 6 26 27 28 35 43 79 82 87 91
11,0.5,76,False,True,False,False,False,False,False,False,False,False,,,,,,,True,,,,,,KekulizeException: Can't kekulize mol.  Unkekulized atoms: 6 10 14 21 28 42 57 59 65 70 71
12,0.5,99,False,True,False,False,False,False,False,False,False,False,,,,,,,True,,,,,,"AtomValenceException: Explicit valence for atom # 77 O, 3, is greater than permitted"
13,0.5,73,False,True,False,False,False,False,False,False,False,False,,,,,,,True,,,,,,KekulizeException: Can't kekulize mol.  Unkekulized atoms: 2 4 17 18 20 21 24 27 39 43 46 47 62
14,0.5,82,False,True,False,False,False,False,False,False,False,False,,,,,,,True,,,,,,"AtomValenceException: Explicit valence for atom # 12 C, 5, is greater than permitted"
15,0.5,68,False,True,False,False,False,False,False,False,False,False,,,,,,,True,,,,,,KekulizeException: Can't kekulize mol.  Unkekulized atoms: 1 3 4 12 15 19 21 23 45 46 47 49 60 65 67
16,0.5,64,False,True,False,False,False,False,False,False,False,False,,,,,,,True,,,,,,"AtomValenceException: Explicit valence for atom # 62 H, 2, is greater than permitted"
17,0.5,105,False,True,False,False,False,False,False,False,False,False,,,,,,,True,,,,,,"AtomValenceException: Explicit valence for atom # 70 N, 4, is greater than permitted"
18,0.5,100,False,True,False,False,False,False,False,False,False,False,,,,,,,True,,,,,,"AtomValenceException: Explicit valence for atom # 44 H, 2, is greater than permitted"
19,0.5,59,False,True,False,False,False,False,True,False,False,False,,,,,,,True,,,,,,ValueError: molecule contains 2 disconnected fragments
20,0.5,71,False,True,False,False,False,False,False,False,False,False,,,,,,,True,,,,,,KekulizeException: Can't kekulize mol.  Unkekulized atoms: 13 21 60
21,0.5,76,False,True,False,False,False,False,False,False,False,False,,,,,,,True,,,,,,KekulizeException: Can't kekulize mol.  Unkekulized atoms: 15 19 22 23 28 30 33 47 52 53 59 60 66
22,0.5,91,False,True,False,False,False,False,False,False,False,False,,,,,,,True,,,,,,KekulizeException: Can't kekulize mol.  Unkekulized atoms: 4 17 20 31 49 64 70 72 83
23,0.5,100,False,True,False,False,False,False,False,False,False,False,,,,,,,True,,,,,,KekulizeException: Can't kekulize mol.  Unkekulized atoms: 1 4 31 44 50 65 66 67 75 77 80 91 93
24,0.5,79,False,True,False,False,False,False,False,False,False,False,,,,,,,True,,,,,,KekulizeException: Can't kekulize mol.  Unkekulized atoms: 2 16 23 34 45 57 61 69 70
25,0.5,91,False,True,False,False,False,False,False,False,False,False,,,,,,,True,,,,,,KekulizeException: Can't kekulize mol.  Unkekulized atoms: 3 12 16 23 29 31 59 78 79 80 90
26,0.5,106,False,True,False,False,False,False,True,False,False,False,,,,,,,True,,,,,,ValueError: molecule contains 3 disconnected fragments
27,0.5,101,False,True,False,False,False,False,False,False,False,False,,,,,,,True,,,,,,"AtomValenceException: Explicit valence for atom # 60 C, 5, is greater than permitted"
28,0.5,71,False,True,False,False,False,False,False,False,False,False,,,,,,,True,,,,,,AtomKekulizeException: non-ring atom 7 marked aromatic
29,0.5,80,False,True,False,False,False,False,False,False,False,False,,,,,,,True,,,,,,KekulizeException: Can't kekulize mol.  Unkekulized atoms: 5 6 14 29 35 41 42 48 63 65 66
30,0.5,62,True,True,False,False,False,False,True,True,True,True,00030.sdf,/home/jovyan/cpu-only-1-datavol-1/psg/generation/MolGuidance_s1_simple_v7/generated/20260821_052601/sdf/00030.sdf,[H]c1nc([H])c2c(c1[H])c(-c1nc3c([H])c([H])c([H])c([H])c3c([H])c1[H])c([H])c1c([H])c3c([H])c4c([H])c(C(F)(F)F)c([H])c5c4c(c3c([H])c12)-c1c([H])c([H])c(C#N)c([H])c1-5,[H]c1nc([H])c2c(c1[H])c(-c1nc3c([H])c([H])c([H])c([H])c3c([H])c1[H])c([H])c1c([H])c3c([H])c4c([H])c(C(F)(F)F)c([H])c5c4c(c3c([H])c12)-c1c([H])c([H])c(C#N)c([H])c1-5,True,,True,False,False,False,False,True,
31,0.5,111,False,True,False,False,False,False,False,False,False,False,,,,,,,True,,,,,,"AtomValenceException: Explicit valence for atom # 32 C, 5, is greater than permitted"
32,0.5,99,False,True,False,False,False,False,False,False,False,False,,,,,,,True,,,,,,"AtomValenceException: Explicit valence for atom # 15 O, 5, is greater than permitted"
33,0.5,77,False,True,False,False,False,False,False,False,False,False,,,,,,,True,,,,,,AtomKekulizeException: non-ring atom 24 marked aromatic
34,0.5,50,False,True,False,False,False,False,False,False,False,False,,,,,,,True,,,,,,KekulizeException: Can't kekulize mol.  Unkekulized atoms: 0 10 16 19 21 28 32 35 36
35,0.5,86,False,True,False,False,False,False,False,False,False,False,,,,,,,True,,,,,,"AtomValenceException: Explicit valence for atom # 77 N, 4, is greater than permitted"
